Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_003645335.1	ASM364533v1	Gammaproteobacteria bacterium					B41_G6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2166669	Contig	2018-10-15	QNEW01	3936								Illumina HiSeq	The University of Texas at Austin	PRJNA362212	SAMN09215162	2334	2291	26				
GCA_030618645.1	ASM3061864v1	Gammaproteobacteria bacterium					CSMAG_2837			2601452	Contig	2023-08-03	JAUXCY01	3935								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34051030							
GCA_004566305.1	ASM456630v1	Gammaproteobacteria bacterium					CSH_ALOHA_XIX_Bin_1			1898873	Contig	2019-04-02	SPLC01	3934								Illumina NextSeq	Simons Collaboration on Ocean Processes and Ecology (SCOPE)	PRJNA482655	SAMN11163849							
GCA_012035105.1	ASM1203510v1	Gammaproteobacteria bacterium					CSU_1_49		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	873671	Contig	2020-04-06	JAAUPB01	3932								IonTorrent	University of Wisconsin, Madison	PRJNA612530	SAMN14376445	1187	882	299				
GCA_019235875.1	ASM1923587v1	Gammaproteobacteria bacterium					CP_BE_BS_R3_14		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2466078	Contig	2021-07-15	JAFAKA01	3932								Illumina HiSeq	The Genomics for Climate Change Research Center (GCCRC)	PRJNA687273	SAMN17140237	2673	2618	30				
GCA_003449275.1	ASM344927v1	Gammaproteobacteria bacterium					UBA10656		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3415383	Scaffold	2018-09-04	DMHZ01	3927	4759							Illumina MiSeq	University of Queensland	PRJNA417962	SAMN08017767	2964	2898	40				
GCA_031373825.1	ASM3137382v1	Gammaproteobacteria bacterium					OTE_58_metabat_375			2959758	Contig	2023-09-12	JANMND01	3924								Illumina NovaSeq	EPFL	PRJNA808857	SAMN29838484							
GCA_009837065.1	ASM983706v1	Gammaproteobacteria bacterium					SB0666_bin_23		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2036287	Scaffold	2020-01-09	VXUG01	3919	4822							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598417	2052	1844	179				
GCA_963581255.1	CB9_Surface.12	Gammaproteobacteria bacterium					CB9_Surface.12			832256	Contig	2023-11-04	CAUZNA01	3919								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238470							
GCA_003230575.1	ASM323057v1	Gammaproteobacteria bacterium					SZUA-187			1714118	Contig	2018-06-15	QIFA01	3917								Illumina HiSeq	Environmental Microbiology Lab	PRJNA385762	SAMN09240171							
GCA_029862775.1	ASM2986277v1	Gammaproteobacteria bacterium					13_May_SF_Bin88		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1740378	Contig	2023-04-24	JAOTWR01	3914								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442727	1997	1937	27				
GCA_016874075.1	JGI 2017-08-21	Gammaproteobacteria bacterium					K_Offshore_surface_m1_032		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1452508	Contig	2021-02-11	VGVI01	3913								Illumina HiSeq 2500-1TB	University of Wisconsin - Madison	PRJNA523022	SAMN10966812	1641	1602	18				
GCA_005778105.1	ASM577810v1	Gammaproteobacteria bacterium					F1-120-MAGs107			1045754	Contig	2019-05-24	SXKI01	3907								Illumina	Nanjing Institute of Geography & Limnology, Chinese Academy of Sciences	PRJNA531348	SAMN11368676							
GCA_029860005.1	ASM2986000v1	Gammaproteobacteria bacterium					24_May_SF_Bin26		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2319975	Contig	2023-04-24	JAOUCA01	3894								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442866	2512	2491	12				
GCA_029859125.1	ASM2985912v1	Gammaproteobacteria bacterium					4_1_Jan_SF_Bin43		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2101633	Contig	2023-04-24	JAOUDY01	3887								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442916	2250	2190	33				
GCA_019090825.1	ASM1909082v1	Gammaproteobacteria bacterium					DC_out76		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	704856	Contig	2021-07-01	JAHRVE01	3880								Illumina HiSeq	National Research Council Canada	PRJNA629517	SAMN19594114	732	728	2				
GCA_026991625.1	ASM2699162v1	Gammaproteobacteria bacterium					T2_metabat2_scaf2bin.075			3066346	Scaffold	2022-12-19	JALXBE01	3880	4473							Illumina HiSeq	Portland State University	PRJNA821212	SAMN27361174							
GCA_003530335.1	ASM353033v1	Gammaproteobacteria bacterium					UBA8313		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2007738	Scaffold	2018-09-10	DPTE01	3877	4656							Illumina HiSeq 2000	University of Queensland	PRJNA417962	SAMN08020100	2187	2140	32				
GCA_024222615.1	ASM2422261v1	Gammaproteobacteria bacterium					Cca_16		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5342095	Contig	2022-07-12	JAAEOV01	3875								Illumina HiSeq	Kiel University	PRJNA503328	SAMN13632637	6096	6005	69				
GCA_038111365.1	139542_COM.scaffolds.fasta	Gammaproteobacteria bacterium					139542_COM_metabat_bins_2.tsv.291_sub		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1273173	Scaffold	2024-04-15	JAYNKR01	3873	4538							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37860274	1555	1517	15				
GCA_026993775.1	ASM2699377v1	Gammaproteobacteria bacterium					M2_metabat2_scaf2bin.047_VB			2377723	Scaffold	2022-12-19	JALWSD01	3872	4105							Illumina HiSeq	Portland State University	PRJNA821212	SAMN27360695							
GCA_009925855.1	ASM992585v1	Gammaproteobacteria bacterium					WB4_1_0080		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2268303	Contig	2020-01-23	RFQC01	3869								Illumina	Georgia Institute of Technology	PRJNA495371	SAMN10222823	2648	2544	74				
GCA_011322685.1	ASM1132268v1	Gammaproteobacteria bacterium					HyVt-479		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2354852	Contig	2020-03-16	DRMC01	3868								Illumina HiSeq 2500	The University of Hong Kong	PRJNA480137	SAMN09638682	2352	2293	34				
GCA_038146125.1	SD3111_S41.scaffolds.fasta	Gammaproteobacteria bacterium					SD3111_S41.concoct.069_sub			1377269	Scaffold	2024-04-15	JAYQQX01	3861	4180							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862153							
GCA_036825635.1	ASM3682563v1	Gammaproteobacteria bacterium					CTOTU8166			2410843	Scaffold	2024-02-23	DAISXW01	3854	4120							Illumina	Helmholtz Centre for Environmental Research - UFZ	PRJNA843551	SAMN28750852							
GCA_019750815.1	ASM1975081v1	Gammaproteobacteria bacterium					co.spades.DASTOOL.1kb_075		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1696895	Contig	2021-08-25	JAIEOB01	3849								Illumina	Northeastern University	PRJNA745370	SAMN20165054	1883	1833	23				
GCA_003230885.1	ASM323088v1	Gammaproteobacteria bacterium					SZUA-130			1551047	Contig	2018-06-15	QIHF01	3837								Illumina HiSeq	Environmental Microbiology Lab	PRJNA385762	SAMN09240114							
GCA_038117585.1	139550_S152.scaffolds.fasta	Gammaproteobacteria bacterium					139550_S152_metabat_bins_sspec.tsv.012			983633	Scaffold	2024-04-15	JAYOGF01	3832	4253							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37860514							
GCA_035433885.1	ASM3543388v1	Gammaproteobacteria bacterium					AMR_MDS_5232		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	977832	Scaffold	2024-01-09	DAORVT01	3830	3830							Illumina MiSeq	CLUE-TERRA	PRJNA925477	SAMN32867449	1143	1100	25				
GCA_009844825.1	ASM984482v1	Gammaproteobacteria bacterium					SB0672_bin_24		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3448044	Scaffold	2020-01-09	VYAT01	3829	4556							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598586	3286	3025	239				
GCA_038103675.1	139557_S159.scaffolds.fasta	Gammaproteobacteria bacterium					139557_S159_concoct_bins.tsv.043			3662782	Scaffold	2024-04-15	JAYNZM01	3826	6447							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37860689							
GCA_029941705.1	ASM2994170v1	Gammaproteobacteria bacterium					PW6.maxbin2.140_sub			3727625	Scaffold	2023-05-03	JAPYTE01	3823	4038							Illumina NovaSeq	Harvard University	PRJNA879230	SAMN30801057							
GCA_035635055.1	ASM3563505v1	Gammaproteobacteria bacterium					SMAG_U11681		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2872831	Contig	2024-01-14	DASQBV01	3815								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37945410	3277	3204	40				
GCA_018654275.1	ASM1865427v1	Gammaproteobacteria bacterium					SI054_bin84		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3775552	Contig	2021-06-02	JABILZ01	3810								Illumina HiSeq 2000	The University of Melbourne	PRJNA630981	SAMN14914977	3980	3929	27				
GCA_011052115.1	ASM1105211v1	Gammaproteobacteria bacterium					HyVt-423		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1848997	Contig	2020-03-02	DRJT01	3809								Illumina HiSeq 2000	The University of Hong Kong	PRJNA480137	SAMN09638621	2100	2039	30				
GCA_038136535.1	139586_S187.scaffolds.fasta	Gammaproteobacteria bacterium					139586_S187_concoct_bins.tsv.094			1870555	Scaffold	2024-04-15	JAYPZX01	3795	4925							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37861800							
GCA_963693625.1	CBN3_323.66	Gammaproteobacteria bacterium					CBN3_323.66			741772	Contig	2023-12-09	CAVOAH01	3791								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238613							
GCA_003483905.1	ASM348390v1	Gammaproteobacteria bacterium					UBA11791		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2136502	Scaffold	2018-09-06	DMXG01	3789	5985							Illumina HiSeq 2000	University of Queensland	PRJNA417962	SAMN08017542	2272	2243	13				
GCA_027440835.1	ASM2744083v1	Gammaproteobacteria bacterium					clean6703			1401710	Contig	2022-12-27	DAIARN01	3786								Illumina	an eLibrary of Microbial Systematics and Genomics	PRJNA834572	SAMN28414257							
GCA_024960205.1	ASM2496020v1	Gammaproteobacteria bacterium					Bin04_007		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	779320	Contig	2022-09-05	JANXHF01	3785								Illumina HiSeq	National Oceanic & Atmospheric Administration	PRJNA870083	SAMN30350018	899	872	10				
GCA_019242675.1	ASM1924267v1	Gammaproteobacteria bacterium					CP_BM_RX_28		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2048466	Contig	2021-07-15	JAFAVE01	3784								Illumina HiSeq	The Genomics for Climate Change Research Center (GCCRC)	PRJNA687273	SAMN17140534	2111	2027	44				
GCA_026195485.1	ASM2619548v1	Gammaproteobacteria bacterium					N3D-Bin_5		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1805774	Contig	2022-11-15	JAPHSF01	3784								Illumina NextSeq	Northeastern University	PRJNA896156	SAMN31562290	2067	2034	16				
GCA_029860145.1	ASM2986014v1	Gammaproteobacteria bacterium					24_July_SF_Bin20		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1959722	Contig	2023-04-24	JAOUBU01	3782								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442860	2204	2166	16				
GCA_026193705.1	ASM2619370v1	Gammaproteobacteria bacterium					N3D-Bin_14		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1183158	Contig	2022-11-15	JAPHRZ01	3772								Illumina NextSeq	Northeastern University	PRJNA896156	SAMN31562284	1338	1315	6				
GCA_027003035.1	ASM2700303v1	Gammaproteobacteria bacterium					T2_metabat1_scaf2bin.057			1914244	Scaffold	2022-12-19	JALWYY01	3767	3951							Illumina HiSeq	Portland State University	PRJNA821212	SAMN27361116							
GCA_029863985.1	ASM2986398v1	Gammaproteobacteria bacterium					13_July_SF_Bin51		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2959664	Contig	2023-04-24	JAOTUI01	3759								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442666	3217	3177	20				
GCA_018822575.1	ASM1882257v1	Gammaproteobacteria bacterium					Modern_marine_rock_biofilm.mb.45		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2739654	Contig	2021-06-09	JAHJJS01	3756								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19298223	3097	3004	69				
GCA_029860025.1	ASM2986002v1	Gammaproteobacteria bacterium					24_May_SF_Bin19		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1894919	Contig	2023-04-24	JAOUBZ01	3753								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442865	2135	2103	16				
GCA_027034655.1	ASM2703465v1	Gammaproteobacteria bacterium					A1_maxbin2_scaf2bin.146			2747910	Scaffold	2022-12-19	JALVGF01	3749	3872							Illumina HiSeq	Portland State University	PRJNA821212	SAMN27359953							
GCA_019090515.1	ASM1909051v1	Gammaproteobacteria bacterium					DC_out193		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	344289	Contig	2021-07-01	JAHRVW01	3746								Illumina HiSeq	National Research Council Canada	PRJNA629517	SAMN19594132	353	345	3				
GCA_031374325.1	ASM3137432v1	Gammaproteobacteria bacterium					OTE_70b_concoct_91			2248140	Contig	2023-09-12	JANMFW01	3745								Illumina NovaSeq	EPFL	PRJNA808857	SAMN29838673							
GCA_036476665.1	ASM3647666v1	Gammaproteobacteria bacterium					SCS2bin.22		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1048685	Contig	2024-02-08	JAZGBT01	3741								Illumina	Tsinghua University	PRJNA1051299	SAMN38797487	1200	1175	12				
GCA_026991875.1	ASM2699187v1	Gammaproteobacteria bacterium					T2_metabat2_scaf2bin.002			2182788	Scaffold	2022-12-19	JALXAP01	3738	4028							Illumina HiSeq	Portland State University	PRJNA821212	SAMN27361159							
GCA_019090205.1	ASM1909020v1	Gammaproteobacteria bacterium					DC_out129		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2108168	Contig	2021-07-01	JAHRWH01	3735								Illumina HiSeq	National Research Council Canada	PRJNA629517	SAMN19594143	2245	2187	35				
GCA_035281825.1	ASM3528182v1	Gammaproteobacteria bacterium					SMAG_U8364		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	998985	Contig	2024-01-09	DATEVJ01	3734								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37964717	1045	1023	6				
GCA_019247015.1	ASM1924701v1	Gammaproteobacteria bacterium					CP_BM_ER_44		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2297239	Contig	2021-07-15	JAFAPS01	3733								Illumina HiSeq	The Genomics for Climate Change Research Center (GCCRC)	PRJNA687273	SAMN17140392	2529	2480	27				
GCA_035267545.1	ASM3526754v1	Gammaproteobacteria bacterium					SMAG_U9203		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2042842	Contig	2024-01-08	DATFLR01	3732								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37964343	2358	2306	15				
GCA_027058835.1	ASM2705883v1	Gammaproteobacteria bacterium					S146_metabat2_scaf2bin.060			2074544	Scaffold	2022-12-19	JALURO01	3728	3757							Illumina HiSeq	Portland State University	PRJNA821212	SAMN27359553							
GCA_004566165.1	ASM456616v1	Gammaproteobacteria bacterium					CSH_ALOHA_XIX_Bin_6			1170260	Contig	2019-04-02	SPLF01	3727								Illumina NextSeq	Simons Collaboration on Ocean Processes and Ecology (SCOPE)	PRJNA482655	SAMN11163852							
GCA_003247095.1	ASM324709v1	Gammaproteobacteria bacterium					SZUA-394			2219674	Contig	2018-06-18	QKBI01	3726								Illumina HiSeq	Environmental Microbiology Lab	PRJNA385762	SAMN09287942							
GCA_003246005.1	ASM324600v1	Gammaproteobacteria bacterium					SZUA-403			1464009	Contig	2018-06-18	QKBR01	3723								Illumina HiSeq	Environmental Microbiology Lab	PRJNA385762	SAMN09287951							
GCA_003229655.1	ASM322965v1	Gammaproteobacteria bacterium					SZUA-194			2102945	Contig	2018-06-15	QIET01	3715								Illumina HiSeq	Environmental Microbiology Lab	PRJNA385762	SAMN09240178							
GCA_029883315.1	ASM2988331v1	Gammaproteobacteria bacterium					8_1_Jan_SF_Bin100		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3318011	Contig	2023-04-26	JAOUJK01	3714								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443058	3457	3424	25				
GCA_038100455.1	139561_S162.scaffolds.fasta	Gammaproteobacteria bacterium					139561_S162_metabat_bins_2.tsv.096_sub			2031802	Scaffold	2024-04-15	JAYNVL01	3712	10200							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37860794							
GCA_003445255.1	ASM344525v1	Gammaproteobacteria bacterium					UBA9281		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1930920	Scaffold	2018-09-04	DLWB01	3711	5313							Illumina HiSeq 2500	University of Queensland	PRJNA417962	SAMN08017454	2170	2134	25				
GCA_030740575.1	ASM3074057v1	Gammaproteobacteria bacterium					ETNP2_MAG_108		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2405696	Contig	2023-08-15	JASLXA01	3711								Illumina NovaSeq	Massachusetts Institute of Technology	PRJNA955304	SAMN34270574	2646	2594	21				
GCA_027021005.1	ASM2702100v1	Gammaproteobacteria bacterium					128-326_metabat2_scaf2bin.030			3268471	Contig	2022-12-19	JALUVH01	3709								Illumina HiSeq	Portland State University	PRJNA821212	SAMN27359669							
GCA_029881755.1	ASM2988175v1	Gammaproteobacteria bacterium					8_1_July_SF_Bin13		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1721204	Contig	2023-04-26	JAOULZ01	3700								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443125	1996	1951	20				
GCA_029883875.1	ASM2988387v1	Gammaproteobacteria bacterium					4_1_Oct_SF_Bin33		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2026563	Contig	2023-04-26	JAOUIR01	3700								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443039	2176	2144	15				
GCA_026998695.1	ASM2699869v1	Gammaproteobacteria bacterium					S140_maxbin2_scaf2bin.177_VB			2834957	Scaffold	2022-12-19	JALTQO01	3699	3748							Illumina HiSeq	Portland State University	PRJNA821212	SAMN27358871							
GCA_011041815.1	ASM1104181v1	Gammaproteobacteria bacterium					HyVt-20		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	574536	Contig	2020-02-29	DRAH01	3690								Illumina HiSeq 2500	The University of Hong Kong	PRJNA480137	SAMN09638373	645	634	4				
GCA_003646245.1	ASM364624v1	Gammaproteobacteria bacterium					B45_G6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1596029	Contig	2018-10-15	QNFB01	3688								Illumina HiSeq	The University of Texas at Austin	PRJNA362212	SAMN09215161	1760	1727	20				
GCA_019090785.1	ASM1909078v1	Gammaproteobacteria bacterium					DC_out58		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	849199	Contig	2021-07-01	JAHRVH01	3687								Illumina HiSeq	National Research Council Canada	PRJNA629517	SAMN19594117	825	818	3				
GCA_011775035.1	ASM1177503v1	Gammaproteobacteria bacterium					KS2-K045		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3442481	Scaffold	2020-03-30	JAACAA01	3679	5168							Illumina HiSeq	Maharaja Krishnakumarsinhji Bhavnagar University	PRJNA598416	SAMN13684311	4667	4193	443				
GCA_030601405.1	ASM3060140v1	Gammaproteobacteria bacterium					CSMAG_770			1771044	Contig	2023-08-03	JAUVTQ01	3678								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34048473							
GCA_038123495.1	139583_S184.scaffolds.fasta	Gammaproteobacteria bacterium					139583_S184_concoct_bins.tsv.084_sub			2662211	Scaffold	2024-04-15	JAYPAC01	3676	4169							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37861641							
GCA_031404575.1	ASM3140457v1	Gammaproteobacteria bacterium					SOY_6_C_metabat_193			2225974	Contig	2023-09-12	JANNHW01	3670								Illumina NovaSeq	EPFL	PRJNA808857	SAMN29839514							
GCA_023481115.1	ASM2348111v1	Gammaproteobacteria bacterium					FK_Sedi_B_Bin.54		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1340431	Scaffold	2022-05-18	JAMCWP01	3664	3876							Illumina HiSeq	Sun Yat-Sen University	PRJNA666095	SAMN27868430	1492	1391	83				
GCA_030617195.1	ASM3061719v1	Gammaproteobacteria bacterium					CSMAG_2642			1545174	Contig	2023-08-03	JAUWVW01	3664								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34050835							
GCA_018677055.1	ASM1867705v1	Gammaproteobacteria bacterium					IDS-36		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3002257	Contig	2021-06-02	JAHHOR01	3661								Illumina NextSeq	Monash University	PRJNA623061	SAMN19247006	3258	3226	13				
GCA_027076455.1	ASM2707645v1	Gammaproteobacteria bacterium					S139_maxbin2_scaf2bin.062			2571266	Scaffold	2022-12-19	JALTJI01	3660	3660							Illumina HiSeq	Portland State University	PRJNA821212	SAMN27358683							
GCA_029883805.1	ASM2988380v1	Gammaproteobacteria bacterium					4_1_Oct_SF_Bin38		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1924791	Contig	2023-04-26	JAOUIT01	3660								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443041	2114	2077	21				
